"","Player","Squad","Nation","Starts","PCA1","PCA2","cluster"
"1","Yunis Abdelhamid","Reims","ma MAR",0.0419322690610573,-7.09439680487301,2.26881737793354,8
"2","Emmanuel Agbadou","Reims","ci CIV",0.186032937959889,-7.45616095547354,2.05879064225146,8
"3","David Alaba","Real Madrid","at AUT",0.273729831903448,-5.28829599211781,1.75506861309931,8
"4","Ethan Ampadu","Spezia","wls WAL",0.510733330040969,-6.5433832619763,0.48097554326649,8
"5","Waldemar Anton","Stuttgart","de GER",0.393785436065563,-6.5000065177221,3.40262210784692,8
"6","Rodrigo Becão","Udinese","br BRA",0.160673606994256,-5.58144626600603,-0.735734168703981,8
"7","Quentin Bernard","Auxerre","fr FRA",0.0419322690610573,-4.46786350464379,1.40308814423897,8
"8","Lilian Brassier","Brest","fr FRA",0.192921497024609,-6.88854458144105,0.237510837237278,8
"9","Alessandro Buongiorno","Torino","it ITA",-0.0213004390114181,-6.5881322594202,-0.458558985079072,8
"10","Trevoh Chalobah","Chelsea","eng ENG",0.103075196802778,-7.40269797697078,1.88796656681328,8
"11","Bryan Cristante","Roma","it ITA",0.382151664133098,-4.54478456409983,0.613117604965225,8
"12","Danilo D'Ambrosio","Inter","it ITA",-0.103376025790346,-4.56039464506656,1.13868749281871,8
"13","Danilo","Juventus","br BRA",-0.0455574227703749,-6.2968210597093,3.11498436907029,8
"14","Ben Davies","Tottenham","wls WAL",0.228140276274481,-4.42405330555997,0.621699475217335,8
"15","Bafodé Diakité","Lille","fr FRA",-0.0908628872328727,-4.703564041185,3.70938543045148,8
"16","Axel Disasi","Monaco","fr FRA",0.0419322690610573,-7.36957156850584,2.46643181616102,8
"17","Wesley Fofana","Chelsea","fr FRA",-0.671419116138636,-7.24766569762559,1.88482792071006,8
"18","Samuel Gigot","Marseille","fr FRA",1.26719879443986,-6.91867067730659,0.0920841128348072,8
"19","Andrei Girotto","Nantes","br BRA",0.278698499890701,-6.4556539074263,-0.177222065370278,8
"20","Nemanja Gudelj","Sevilla","rs SRB",0.0743628827678922,-7.18439276351391,0.360649121742862,8
"21","Massadio Haïdara","Lens","ml MLI",-0.649410924686448,-3.92464957695241,1.16372831352503,8
"22","Mario Hermoso","Atlético Madrid","es ESP",0.236082797909176,-6.65663284479855,2.87023170910354,8
"23","Piero Hincapié","Leverkusen","ec ECU",-0.0481023717893891,-6.17516097069559,2.16390765526047,8
"24","Roger Ibanez","Roma","br BRA",0.288078476021291,-6.82099713174859,0.417394612252123,8
"25","Armando Izzo","Monza","it ITA",0.520364521171459,-6.92787481410673,0.906538070383737,8
"26","Kristijan Jakić","Eint Frankfurt","hr CRO",0.4347546404428,-5.321604226232,-0.00396146050060925,8
"27","Pierre Kalulu","Milan","fr FRA",-0.626896491542262,-6.56911677191753,3.40882224280241,8
"28","Odilon Kossonou","Leverkusen","ci CIV",0.0795895679591101,-6.51031770967871,0.792821294900969,8
"29","Vincent Le Goff","Lorient","fr FRA",0.0419322690610573,-4.59293006765612,2.30093896865845,8
"30","Diogo Leite","Union Berlin","pt POR",0.354537015864783,-7.65074415288091,0.156395008819627,8
"31","Mario Lemina","Nice","ga GAB",1.52804104262117,-5.77096059065687,1.99768696790031,8
"32","Gianluca Mancini","Roma","it ITA",0.363007517328291,-6.51609968034068,0.471565177361418,8
"33","Adam Marušić","Lazio","me MNE",0.130988272510956,-5.20908735436047,1.88242964114072,8
"34","Omar Mascarell","Elche","es ESP",0.286354058668544,-5.08141103914927,0.0177165100136009,8
"35","Konstantinos Mavropanos","Stuttgart","gr GRE",0.235471300180521,-6.89499029328433,2.37761877143737,8
"36","Chancel Mbemba","Marseille","cd COD",0.131082048576365,-5.93416556115416,2.13768921429565,8
"37","Nikola Milenković","Fiorentina","rs SRB",-0.214942417539398,-7.56214678300133,-0.0322457059066091,8
"38","Stanley N'Soki","Hoffenheim","fr FRA",-0.123714667371413,-6.43758396574187,-0.143011464553229,8
"39","Nacho","Real Madrid","es ESP",-0.0431523915349361,-5.42921641431752,2.41292789842939,8
"40","Dimitris Nikolaou","Spezia","gr GRE",0.324454762764184,-7.1571507413112,0.0211755690650738,8
"41","Cenk Özkacar","Valencia","tr TUR",-0.588310216892069,-7.06121261693999,-0.388117147234296,8
"42","Amos Pieper","Werder Bremen","de GER",0.138223788376327,-7.3136411675363,0.0452994834033252,8
"43","Ricardo Rodríguez","Torino","ch SUI",0.133990160267694,-4.67987126919235,2.8576844148439,8
"44","Pablo Rosario","Nice","nl NED",-1.05697950186231,-4.37008801342938,1.53000936189049,8
"45","Yoann Salmier","Troyes","gf GUF",0.48781810946327,-7.36811707290194,0.056128987704991,8
"46","Alex Sandro","Juventus","br BRA",0.51417328119941,-5.18158720956089,2.77656587794987,8
"47","Giorgio Scalvini","Atalanta","it ITA",1.00686455483512,-5.24046453889945,1.13490330645435,8
"48","Fabian Schär","Newcastle Utd","ch SUI",0.128821594947296,-6.23535633670918,1.45042816448042,8
"49","Alidu Seidu","Clermont Foot","gh GHA",0.248594369825183,-4.86987228527462,0.00346016741657236,8
"50","Renato Tapia","Celta Vigo","pe PER",-0.0201798436138545,-5.15319862054228,-0.919067976807203,8
"51","Rafael Tolói","Atalanta","it ITA",0.324454762764184,-5.32719456189864,0.825306421165659,8
"52","Micky van de Ven","Wolfsburg","nl NED",0.0419322690610573,-7.19493127386921,0.828329181302933,8
"53","Axel Witsel","Atlético Madrid","be BEL",0.0129042714795142,-7.30700643580376,0.198709611791205,8
