"","Comp.1","Comp.2"
"touches.Att.3rd",3.66274950084503,0.834451596331396
"PrgR",3.64201550010261,0.454994252275757
"SCA",3.40811497176596,1.05874434604996
"take.ons.Tkld",3.22693524245113,-0.280753637615911
"take.ons.Att",3.19977374416396,-0.136879608333666
"carries.Mis",3.15383189361651,-0.445842976662379
"sca.PassLive",3.15130485341659,1.16491342312526
"KP",3.13324093185515,0.986034026125338
"pass.PPA",3.12061787956893,0.980662982469482
"PrgC",3.06233069520465,0.789989520002426
"carries.PrgC",3.06233069520465,0.789989520002426
"carries.CPA",2.95468834347639,0.092992050273923
"Crs",2.95177080207103,0.46681469395991
"xAG",2.92898347754879,0.93442875459994
"pass.Blocks",2.89321796427201,0.123803102156752
"xA",2.87252063562957,1.12411879261464
"npxG.xAG",2.83228195517662,0.608971379766971
"carries.Dis",2.74882486391413,-0.244301157414192
"CrsPA",2.7293971432638,0.368517667377479
"take.ons.Succ",2.67265729538347,-0.078970792914728
"TI",2.60278377310345,0.121322532396156
"touches.Att.Pen",2.47769864142036,0.14148697616882
"pass.Dead",2.36892861415617,0.571543001646674
"GCA",2.34861272348913,0.632437379834485
"sca.TO",2.25217947885869,-0.299521689282654
"Ast",2.04498678802429,0.506114521972321
"G.A",2.03584890426626,0.268250093041679
"tkl.Att.3rd",2.01414825316699,-0.0708848676646301
"gca.PassLive",1.95374564836149,0.646375206320043
"Sh",1.91373482405924,-0.117857248130368
"blocks.Pass",1.77181236222097,-0.575099474933504
"SoT",1.6316824895776,-0.281318139086841
"challenges.Lost",1.61455014427311,-0.620748955139929
"challenges.Att",1.58673290175592,-0.580676151774784
"sca.Fld",1.58394775386129,-0.596124302064484
"Off",1.49573650807813,-0.224794252658618
"Fld",1.48407309064448,-0.52765170314424
"sca.PassDead",1.34674149900205,0.408317137930483
"CK",1.24548949789267,0.469095764138652
"xG",1.10349965698646,-0.35493383730792
"npxG",1.07919487388285,-0.378726149650106
"ck.Out",1.02234926714496,0.451463910413882
"ck.In",0.994667721026965,0.26081063495126
"Tkl",0.987539343724107,-0.648073277283322
"challenges.Tkl",0.895962745572999,-0.566428869531491
"tkl.Mid.3rd",0.831842236858311,-0.411330823916314
"TklW",0.784093336269203,-0.758980662445991
"gca.TO",0.783832230335207,-0.497575157546829
"sca.Sh",0.735276442546218,-0.176031060776221
