"","Player","Squad","Nation","Starts","PCA1","PCA2","cluster"
"1","Zakaria Aboukhlal","Toulouse","ma MAR",0.197645232634596,-4.8240570281929,6.61973155019944,6
"2","Amine Adli","Leverkusen","fr FRA",0.0704798381111987,-3.9148045037982,5.24404031164935,6
"3","Julián Álvarez","Manchester City","ar ARG",-1.60788338529406,-5.56415517050649,5.47787000568901,6
"4","Marko Arnautović","Bologna","at AUT",0.523882405378154,-8.17507278696976,5.51647358123731,6
"5","Takuma Asano","Bochum","jp JPN",0.888510179264294,-7.35173468998703,4.58175777291639,6
"6","Ezequiel Ávila","Osasuna","ar ARG",1.77260985044083,-6.32077578314903,5.22848038954631,6
"7","Leon Bailey","Aston Villa","jm JAM",1.59559053768674,-4.38815936562916,6.62085493896435,6
"8","Harvey Barnes","Leicester City","eng ENG",0.552682081543175,-5.86246318057226,6.32695581757018,6
"9","Ihlas Bebou","Hoffenheim","tg TOG",0.701550464105219,-7.68391353355579,3.74975444443804,6
"10","Sheraldo Becker","Union Berlin","sr SUR",1.37644729021787,-5.48492488612868,8.28077992576331,6
"11","Mergim Berisha","Augsburg","de GER",0.632385771386411,-8.21021083986307,6.20636007061515,6
"12","Lucas Boyé","Elche","ar ARG",0.534453204468781,-5.88741966171449,4.12172945925758,6
"13","Marius Bülter","Schalke 04","de GER",0.363603376210344,-4.87689710823405,6.10482087366073,6
"14","Jamie Bynoe-Gittens","Dortmund","eng ENG",-2.61738358630214,-5.51061738142173,6.58130942027624,6
"15","Ángel Correa","Atlético Madrid","ar ARG",-1.56291199929381,-4.72927263504304,7.97881746982082,6
"16","Moanes Dabbur","Hoffenheim","il ISR",-1.82853015709565,-6.98172956566289,5.12612595245248,6
"17","Boulaye Dia","Salernitana","sn SEN",-0.244405063715105,-7.97508762868722,6.76946857844801,6
"18","Hugo Ekitike","Paris S-G","fr FRA",-0.490090608691582,-6.28968957757404,4.23051018039643,6
"19","Breel Embolo","Monaco","ch SUI",-0.614753957561432,-8.11399400409583,7.17426330090831,6
"20","João Félix","Chelsea","pt POR",0.468568255832728,-4.09906666836024,4.92512765768615,6
"21","João Félix","Atlético Madrid","pt POR",-0.210164725320193,-4.97555322961519,5.41573179186386,6
"22","Emil Forsberg","RB Leipzig","se SWE",-0.190262331026937,-4.83668478769304,3.66521084285131,6
"23","Manolo Gabbiadini","Sampdoria","it ITA",0.306452055009099,-7.43076027764786,4.54695329337148,6
"24","Cody Gakpo","Liverpool","nl NED",0.446532383500101,-6.01708029115513,4.30160793846368,6
"25","Kévin Gameiro","Strasbourg","fr FRA",-0.0674139010471121,-5.62373439972441,5.67126587562827,6
"26","Raúl García","Athletic Club","es ESP",-3.57593333541237,-7.50063564402131,3.72822468346068,6
"27","Alejandro Garnacho","Manchester Utd","ar ARG",-1.6715741031173,-4.68827840356946,6.06815437987881,6
"28","Amine Gouiri","Rennes","fr FRA",0.324454762764184,-5.64784506027661,6.83613527295609,6
"29","Romain Hamouma","Ajaccio","fr FRA",1.41631648541667,-4.31795648046276,4.35651289493938,6
"30","Kai Havertz","Chelsea","de GER",0.459722441726753,-6.35419736380283,4.46611384498613,6
"31","Adam Hložek","Leverkusen","cz CZE",1.02307181562261,-7.35174455853438,4.62948238334414,6
"32","Kelechi Iheanacho","Leicester City","ng NGA",-0.954040994011275,-7.06039247856823,7.58784943292706,6
"33","Alexander Isak","Newcastle Utd","se SWE",0.0849974586399835,-7.25722002971099,6.53198232483059,6
"34","Luis Javier Suárez","Almería","co COL",0.75677106185353,-7.52789580395674,3.96130787694636,6
"35","Gabriel Jesus","Arsenal","br BRA",0.423009121032716,-5.6491868251809,7.82388154773879,6
"36","Diogo Jota","Liverpool","pt POR",-0.327520222704569,-5.46670965195329,4.83394378373295,6
"37","Stevan Jovetić","Hertha BSC","me MNE",-1.53791324505463,-6.02849253545139,4.62107880145977,6
"38","Arnaud Kalimuendo","Rennes","fr FRA",1.42001251281903,-8.15537580257267,5.2372254189114,6
"39","Yann Karamoh","Torino","fr FRA",-0.942161445038936,-6.95462855914234,4.63735696816874,6
"40","Silas Katompa","Stuttgart","cd COD",0.362748474260089,-6.68277833249764,5.16436298031213,6
"41","Justin Kluivert","Valencia","nl NED",-0.507297706603692,-4.80553673372585,5.85509264864676,6
"42","Christian Kouamé","Fiorentina","ci CIV",0.542478552117078,-4.09898012928404,5.21268049451521,6
"43","Andrej Kramarić","Hoffenheim","hr CRO",-0.11602456522225,-4.78776144261179,7.72920992491213,6
"44","Gaëtan Laborde","Nice","fr FRA",0.0877040697168713,-5.50801413287804,6.62156335488114,6
"45","Lázaro","Almería","br BRA",-0.942161445038936,-6.7054392592096,3.56181934021938,6
"46","Jesper Lindstrøm","Eint Frankfurt","dk DEN",1.51074635335801,-4.31796329587179,6.60582922225538,6
"47","Dodi Lukebakio","Hertha BSC","be BEL",0.154729109475696,-4.69515313224691,7.26215951119406,6
"48","Anthony Martial","Manchester Utd","fr FRA",0.142461745348058,-7.63879729110306,6.24507658744383,6
"49","Borja Mayoral","Getafe","es ESP",0.668519851144937,-7.22303887149757,4.82798235585049,6
"50","Gerard Moreno","Villarreal","es ESP",0.241765252412049,-5.40895144492453,7.21387084876983,6
"51","Dany Mota","Monza","pt POR",-0.0523404040469949,-6.41606123114722,5.57272174278209,6
"52","Arnaud Nordin","Montpellier","fr FRA",1.06223736814469,-5.31851443707049,5.77019052951952,6
"53","David Okereke","Cremonese","ng NGA",-0.0159187623062193,-7.64366801485332,5.12989483366065,6
"54","Karim Onisiwo","Mainz 05","at AUT",-0.0193792291785733,-7.5450006800502,7.04156771191415,6
"55","Andrea Petagna","Monza","it ITA",0.27348858831383,-7.73712332878386,5.40283258907757,6
"56","Javi Puado","Espanyol","es ESP",-0.273188973915506,-6.99488441415186,4.74163471820201,6
"57","Largie Ramazani","Almería","be BEL",-1.31872666889477,-6.20607850846398,3.74103317570967,6
"58","Ante Rebić","Milan","hr CRO",-0.626896491542262,-5.87491270765167,4.21578232269496,6
"59","Rodrigo","Leeds United","es ESP",0.613547547018545,-8.04462663397633,5.62408062986145,6
"60","Georginio Rutter","Hoffenheim","fr FRA",-0.112349092713395,-7.80335000859088,5.55454572492264,6
"61","Wesley Saïd","Lens","fr FRA",-1.28118549648029,-7.51343688922178,5.34668208565886,6
"62","Mama Samba Baldé","Troyes","gw GNB",0.14953464471159,-7.60404565680302,5.47551477771331,6
"63","Alexis Sánchez","Marseille","cl CHI",0.656648064430792,-4.88961462313482,8.44047191196053,6
"64","Nicola Sansone","Bologna","it ITA",-0.179504280057608,-6.45155750336672,5.41358577010788,6
"65","André Silva","RB Leipzig","pt POR",0.33420812848466,-7.35627292038078,6.7820249514326,6
"66","Dominic Solanke","Bournemouth","eng ENG",0.0992270405113423,-8.13617104026679,5.76348682292835,6
