"","Comp.1","Comp.2","diff_"
"xG",-3.91493927998809,1.86225957314577,5.77719885313386
"npxG",-3.97248505732939,1.73193063902537,5.70441569635476
"Gls",-3.29526776704041,2.04506457724524,5.34033234428565
"G.PK",-3.30230934570513,1.93217114662274,5.23448049232787
"SoT",-3.2257797403941,1.93793452494555,5.16371426533964
"Sh",-3.11014801587251,1.82675298945006,4.93690100532257
"Off",-4.44976705326441,0.425773435253103,4.87554048851751
"touches.Att.Pen",-2.93923005017048,1.89344814528714,4.83267819545762
"G.A",-1.85346827900921,2.46551392449717,4.31898220350638
"npxG.xAG",-1.84470293222848,2.37561797859275,4.22032091082122
"aerials.Lost",-4.84255212374677,-0.849019123705121,3.99353300004165
"touches.Def.3rd",1.84650545888898,-2.03952654255491,3.88603200144389
"Recov",2.32745879038541,-1.35321333280596,3.68067212319137
"pass.PrgDist",3.3424244166127,-0.337987035541764,3.68041145215446
"aerials.Won",-4.25535105227045,-0.602592175020464,3.65275887724999
"touches.Live",3.46838030342761,-0.102959821426916,3.57134012485453
"pass.med.Att",3.30784848303052,-0.262048753755782,3.56989723678631
"Touches",3.46632196978511,-0.0959936736417286,3.56231564342684
"Tkl.Int",1.49024264536083,-2.03633916577861,3.52658181113944
"pass.Att",3.44243960288823,-0.0547611831739294,3.49720078606216
"PKatt",-2.44623475134947,1.01857663393186,3.46481138528133
"pass.TotDist",3.40139076570411,-0.0600211025070324,3.46141186821115
"pass.med.Cmp",3.20973298272899,-0.224981361496138,3.43471434422512
"pass.Live",3.30867404758822,0.0047352622580889,3.30393878533013
"challenges.Tkl",1.42107839969215,-1.87949570940127,3.30057410909342
"sca.Sh",-2.11850041639869,1.17112687864915,3.28962729504783
"pass.Cmp",3.27319479301034,-0.00187608933536505,3.27507088234571
"touches.Mid.3rd",2.63183679373821,-0.605181487690194,3.2370182814284
"carries.Mis",-2.96474900688723,0.226800522759566,3.1915495296468
"Tkl",1.19119721431708,-1.99993159199995,3.19112880631703
"PK",-2.20614053027952,0.949579273805078,3.1557198040846
"challenges.Att",1.29917136959092,-1.81262522771691,3.11179659730783
"pass.long.Att",2.88052642005296,-0.158788584489334,3.03931500454229
"tkl.Def.3rd",0.976085882648722,-2.02193436725746,2.99802024990618
"X90s",-1.01949168659628,1.94203518496714,2.96152687156343
"gca.Sh",-1.91542044804945,0.943664396118495,2.85908484416794
"TklW",0.869760081778957,-1.98530498932536,2.85506507110432
"pass.long.Cmp",2.80937534610588,0.0148910115188204,2.79448433458706
"MP",-1.19966724828048,1.54798439632819,2.74765164460867
"Carries",3.21296881214849,0.466842493148893,2.7461263189996
"pass.short.Cmp",2.79263937493816,0.0814855794801271,2.71115379545803
"pass.short.Att",2.76653939285353,0.0648129974310207,2.70172639542251
"Int",1.08807484334981,-1.59242215499646,2.68049699834627
"Starts",-1.61900147407025,0.898304045562173,2.51730551963243
"gca.TO",-1.60998106606946,0.887821638482809,2.49780270455227
"PrgP",2.86827199928915,0.410797174195601,2.45747482509355
"pass.Dead",1.96738238049308,-0.412174356879181,2.37955673737226
"tkl.Mid.3rd",0.552238037385171,-1.82553048850628,2.37776852589145
