"","Player","Squad","Nation","Starts","PCA1","PCA2","cluster"
"1","Oliver Abildgaard","Hellas Verona","dk DEN",-0.677736515574608,-1.48325440517604,-9.12226101365352,6
"2","Jean-Eudes Aholou","Strasbourg","ci CIV",0.924271749395435,-1.11424730316655,-2.34350296073685,6
"3","Jean-Daniel Akpa-Akpro","Empoli","ci CIV",0.549472678102955,-0.552354536408062,-5.15897058151454,6
"4","Ángel Algobia","Getafe","es ESP",-1.02360950859607,-3.56356368405085,-3.99058907785801,6
"5","Marcos Antônio","Lazio","br BRA",-0.702899759792637,-3.49679607311597,-3.48036281987593,6
"6","Joe Aribo","Southampton","ng NGA",-0.319530333176765,2.28248527645824,-5.01557755580344,6
"7","Santiago Arzamendia","Cádiz","py PAR",-0.51784832405259,-2.42312642796541,-5.06114883161011,6
"8","Kristoffer Askildsen","Lecce","no NOR",-1.06099208135691,-0.613997210709226,-5.04426252495741,6
"9","Iddrisu Baba","Mallorca","gh GHA",0.498442222229451,-2.30710860344279,-5.27236090118835,6
"10","Stefan Bajcetic","Liverpool","es ESP",0.260000961919364,-0.893408633484757,-5.19507080876508,6
"11","Shandon Baptiste","Brentford","gd GRN",-3.37850996052921,-0.62241810293547,-2.6815228386411,6
"12","Keidi Bare","Espanyol","al ALB",-2.28733369791084,-2.99916382707996,-5.39535449109572,6
"13","Leandro Barreiro Martins","Mainz 05","lu LUX",0.45905212081051,0.913788994474327,-4.9376051832689,6
"14","Rodrigo Battaglia","Mallorca","ar ARG",0.448006873713071,-3.19296657118642,-8.21229364338157,6
"15","Julian Baumgartlinger","Augsburg","at AUT",-4.15816747487205,-3.09637130925299,-6.71264384616364,6
"16","Alexis Beka Beka","Nice","fr FRA",1.31976336443391,-3.22077989795863,-3.35239609814395,6
"17","Marco Benassi","Cremonese","it ITA",-0.023744302621432,-0.715134846607901,-4.48363708976535,6
"18","Kristijan Bistrović","Lecce","hr CRO",-0.153565942416811,1.20323865540454,-5.59024131374595,6
"19","Alexis Blin","Lecce","fr FRA",-0.0822064024145585,-3.20902689661448,-4.07485381730949,6
"20","Kevin-Prince Boateng","Hertha BSC","gh GHA",-0.256319528360016,-2.84139921370847,-6.31240526846608,6
"21","Jean-Paul Boëtius","Hertha BSC","nl NED",-1.12851806199475,-2.6560220983086,-3.85001226909619,6
"22","Edoardo Bove","Roma","it ITA",-0.717916534567914,-1.98332653883699,-4.82119020212054,6
"23","Darko Brašanac","Osasuna","rs SRB",-1.7761447581409,-0.234897027102973,-4.87030804604164,6
"24","Mahdi Camara","Brest","fr FRA",-0.0481023717893891,-1.48053344809372,-3.40163712014388,6
"25","Mohamed Camara","Roma","gn GUI",0.324454762764184,-2.01467999432682,-4.85767905576499,6
"26","Carmona","Elche","es ESP",1.86417837021246,0.46132903877746,-7.84726385837798,6
"27","Marcus Coco","Nantes","fr FRA",-1.24903244865572,0.317503608513069,-4.64544791332685,6
"28","Jack Colback","Nott'ham Forest","eng ENG",-2.21654231339874,-2.90040522443072,-8.52363284632496,6
"29","Francis Coquelin","Villarreal","fr FRA",0.721043824780602,-0.603895639214268,-5.35025739894134,6
"30","Mickaël Cuisance","Sampdoria","fr FRA",2.58737764922126,-0.121806250057323,-4.07419477825236,6
"31","Mikkel Damsgaard","Brentford","dk DEN",-1.43416197435548,-0.981568143562029,-3.19606163736853,6
"32","Márton Dárdai","Hertha BSC","de GER",0.413955024760949,-3.38843338060866,-5.93454897874088,6
"33","Tom Davies","Everton","eng ENG",-2.6688132931983,-2.28577998824601,-6.94002951819649,6
"34","Leander Dendoncker","Aston Villa","be BEL",-0.745644782969321,-4.11694224014719,-7.14698433913058,6
"35","Ibrahima Diallo","Southampton","fr FRA",1.75259044521955,-4.09648255531673,-5.06365139755157,6
"36","Matt Doherty","Tottenham","ie IRL",-0.412560438200492,-1.13931515723726,-2.92700671511051,6
"37","John Donald","Elche","es ESP",0.62715743458896,-3.31797675165668,-6.19254716916746,6
"38","Niklas Dorsch","Augsburg","de GER",-0.51784832405259,-5.43526050635696,-7.61254097764473,6
"39","Flynn Downes","West Ham","eng ENG",-1.37735395914835,-2.32795454478931,-6.02568756691883,6
"40","Ondrej Duda","Hellas Verona","sk SVK",-0.506337113158297,-1.00198960739902,-3.38937189623881,6
"41","Maximilian Eggestein","Freiburg","de GER",-0.0282660984074059,-0.705487746270567,-3.61168459658599,6
"42","Albin Ekdal","Spezia","se SWE",-0.496717883293345,-1.92933007605248,-2.96070968622966,6
"43","Mohamed Elyounoussi","Southampton","no NOR",1.03206414505568,1.49965972547828,-3.43476046144118,6
"44","Gonzalo Escalante","Cremonese","ar ARG",1.14911501465439,-4.07706662966347,-5.26722287275508,6
"45","Gonzalo Escalante","Cádiz","ar ARG",0.400062923434065,-0.751476487154342,-4.82387771336756,6
"46","Fali","Cádiz","es ESP",1.31344832298516,-3.65141511093896,-4.63413941012177,6
"47","Jacopo Fazzini","Empoli","it ITA",-1.00083257133412,-1.15515506222729,-4.24823718458785,6
"48","Florian Flick","Schalke 04","de GER",-0.950207269372966,-3.06591543110495,-9.42107092731887,6
"49","Remo Freuler","Nott'ham Forest","ch SUI",0.0381408982524544,-2.85931985104955,-4.30947275163479,6
