Rk,Player,Nation,Pos,Squad,Comp,Age,Born,90s,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err,Matches,id
1,Brenden Aaronson,us USA,"MF,FW",Leeds United,eng Premier League,21,2000,26.4,45,18,16,22,7,15,46,32.6,31,43,3,40,5,50,6,1,Matches,5bc43860
2,Paxten Aaronson,us USA,"MF,DF",Eint Frankfurt,de Bundesliga,18,2003,1.9,6,5,2,2,2,2,3,66.7,1,2,1,1,0,6,2,0,Matches,4cd41883
3,James Abankwah,ie IRL,DF,Udinese,it Serie A,18,2004,0.7,1,1,0,1,0,0,0,,0,4,2,2,0,1,5,0,Matches,4b7a9fcc
4,George Abbott,eng ENG,MF,Tottenham,eng Premier League,16,2005,0.0,0,0,0,0,0,0,0,,0,0,0,0,1,1,0,0,Matches,56628958
5,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,34,1987,37.0,82,50,47,33,2,39,52,75.0,13,65,27,38,64,146,116,1,Matches,32c2d95f
6,Himad Abdelli,dz ALG,"MF,FW",Angers,fr Ligue 1,22,1999,23.7,64,38,22,32,10,31,67,46.3,36,30,1,29,28,92,15,0,Matches,7978cbf0
7,Salis Abdul Samed,gh GHA,MF,Lens,fr Ligue 1,22,2000,32.2,46,26,18,23,5,29,52,55.8,23,38,9,29,36,82,26,0,Matches,82464ce3
8,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,29,1993,26.0,92,52,59,30,3,39,92,42.4,53,47,8,39,34,126,39,0,Matches,31626657
9,Oliver Abildgaard,dk DEN,MF,Hellas Verona,it Serie A,26,1996,6.6,10,6,6,3,1,7,16,43.8,9,7,1,6,5,15,17,0,Matches,8f5cdf66
10,Matthis Abline,fr FRA,"FW,MF",Auxerre,fr Ligue 1,19,2003,9.0,4,2,0,3,1,0,5,0.0,5,6,1,5,1,5,1,0,Matches,0e46fa2f
11,Matthis Abline,fr FRA,"FW,MF",Rennes,fr Ligue 1,19,2003,1.2,1,1,0,0,1,1,1,100.0,0,1,0,1,2,3,1,0,Matches,0e46fa2f
12,Abner,br BRA,DF,Betis,es La Liga,22,2000,6.7,12,9,9,2,1,7,16,43.8,9,8,2,6,8,20,24,0,Matches,7f9c5d2d
13,Zakaria Aboukhlal,ma MAR,"FW,MF",Toulouse,fr Ligue 1,22,2000,27.5,33,23,13,9,11,14,45,31.1,31,18,1,17,22,55,23,0,Matches,c2a6033c
14,Tammy Abraham,eng ENG,FW,Roma,it Serie A,24,1997,24.3,17,10,4,8,5,3,16,18.8,13,10,4,6,3,20,14,0,Matches,f586779e
15,Christian Acella,it ITA,MF,Cremonese,it Serie A,20,2002,0.2,1,0,1,0,0,0,2,0.0,2,0,0,0,0,1,0,0,Matches,771a2cfe
16,Francesco Acerbi,it ITA,DF,Inter,it Serie A,34,1988,26.9,33,19,22,7,4,20,27,74.1,7,25,18,7,41,74,85,2,Matches,b96b595c
17,Álvaro Aceves,es ESP,GK,Valladolid,es La Liga,19,2003,0.1,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0,Matches,be6faae0
18,Mohamed Achi,fr FRA,FW,Nantes,fr Ligue 1,20,2002,0.4,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0,Matches,1e93fc5d
19,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,30,1991,21.2,57,36,34,17,6,30,42,71.4,12,16,5,11,23,80,36,0,Matches,81442ecb
20,Che Adams,sct SCO,FW,Southampton,eng Premier League,26,1996,22.1,17,13,7,8,2,7,12,58.3,5,13,4,9,4,21,22,0,Matches,f2bf1b0f
21,Tyler Adams,us USA,MF,Leeds United,eng Premier League,23,1999,24.0,89,46,44,35,10,50,77,64.9,27,48,8,40,35,124,29,0,Matches,2b09d998
22,Sargis Adamyan,am ARM,"FW,MF",Köln,de Bundesliga,29,1993,7.2,14,7,5,3,6,7,17,41.2,10,12,0,12,4,18,5,0,Matches,22919e97
23,Tosin Adarabioyo,eng ENG,DF,Fulham,eng Premier League,24,1997,23.2,30,13,22,6,2,16,23,69.6,7,20,15,5,26,56,140,1,Matches,c81d773d
24,Martin Adeline,fr FRA,"MF,FW",Reims,fr Ligue 1,18,2003,1.2,3,3,2,1,0,3,4,75.0,1,3,1,2,3,6,3,0,Matches,7587446d
25,Karim Adeyemi,de GER,"FW,MF",Dortmund,de Bundesliga,20,2002,15.4,16,11,6,6,4,8,30,26.7,22,18,1,17,7,23,3,0,Matches,501055d8
