Rk,Player,Nation,Pos,Squad,Comp,Age,Born,MP,Min,Mn/MP,Min%,90s,Starts,Mn/Start,Compl,Subs,Mn/Sub,unSub,PPM,onG,onGA,+/-,+/-90,On-Off,onxG,onxGA,xG+/-,xG+/-90,On-Off,Matches,id
1,Brenden Aaronson,us USA,"MF,FW",Leeds United,eng Premier League,21,2000,36,2372,66,69.4,26.4,28,78,8,8,22,2,0.86,35,58,-23,-0.87,-0.27,33.3,49.8,-16.5,-0.63,-0.35,Matches,5bc43860
2,Paxten Aaronson,us USA,"MF,DF",Eint Frankfurt,de Bundesliga,18,2003,7,173,25,5.7,1.9,0,,0,7,25,6,1.14,4,0,+4,+2.08,+2.02,5.4,1.4,+4.0,+2.06,+1.92,Matches,4cd41883
3,James Abankwah,ie IRL,DF,Udinese,it Serie A,18,2004,2,63,32,1.8,0.7,1,58,0,1,5,33,0.00,0,0,0,0.00,+0.03,0.4,0.7,-0.3,-0.37,-0.25,Matches,4b7a9fcc
4,George Abbott,eng ENG,MF,Tottenham,eng Premier League,16,2005,1,1,1,0.0,0.0,0,,0,1,1,1,3.00,1,0,+1,+90.00,+89.84,0.3,0.0,+0.3,+28.39,+28.20,Matches,56628958
5,Yunis Abdelhamid,ma MAR,DF,Reims,fr Ligue 1,34,1987,37,3330,90,97.4,37.0,37,90,37,0,,0,1.38,45,42,+3,+0.08,+3.08,60.5,50.1,+10.4,+0.28,+1.79,Matches,32c2d95f
6,Himad Abdelli,dz ALG,"MF,FW",Angers,fr Ligue 1,22,1999,30,2137,71,62.5,23.7,24,83,14,6,23,6,0.33,21,49,-28,-1.18,+0.22,23.8,40.7,-17.0,-0.72,-0.45,Matches,7978cbf0
7,Salis Abdul Samed,gh GHA,MF,Lens,fr Ligue 1,22,2000,33,2894,88,84.6,32.2,33,88,30,0,,0,2.24,59,22,+37,+1.15,+0.81,57.9,35.7,+22.2,+0.69,+0.45,Matches,82464ce3
8,Laurent Abergel,fr FRA,MF,Lorient,fr Ligue 1,29,1993,29,2342,81,68.5,26.0,28,83,19,1,26,0,1.72,38,35,+3,+0.12,+0.45,31.6,39.7,-8.1,-0.31,+0.16,Matches,31626657
9,Oliver Abildgaard,dk DEN,MF,Hellas Verona,it Serie A,26,1996,13,592,46,17.3,6.6,6,80,5,7,16,5,1.08,2,11,-9,-1.37,-0.76,4.9,9.3,-4.4,-0.67,-0.36,Matches,8f5cdf66
10,Terry Ablade,fi FIN,FW,Fulham,eng Premier League,20,2001,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches,d524dcd7
11,Matthis Abline,fr FRA,"FW,MF",Auxerre,fr Ligue 1,19,2003,19,806,42,23.6,9.0,8,73,1,11,20,1,1.11,7,14,-7,-0.78,-0.06,11.7,13.3,-1.6,-0.18,+0.32,Matches,0e46fa2f
12,Matthis Abline,fr FRA,"FW,MF",Rennes,fr Ligue 1,19,2003,11,107,10,3.1,1.2,0,,0,11,10,4,2.27,5,0,+5,+4.21,+3.53,2.9,1.3,+1.6,+1.36,+0.93,Matches,0e46fa2f
13,Abner,br BRA,DF,Betis,es La Liga,22,2000,13,607,47,17.7,6.7,7,74,3,6,15,8,1.08,7,10,-3,-0.44,-0.70,10.3,10.9,-0.6,-0.09,-0.16,Matches,7f9c5d2d
14,Zakaria Aboukhlal,ma MAR,"FW,MF",Toulouse,fr Ligue 1,22,2000,37,2473,67,72.3,27.5,28,80,12,9,26,0,1.27,38,45,-7,-0.25,-0.35,38.9,42.3,-3.3,-0.12,-0.01,Matches,c2a6033c
15,Tammy Abraham,eng ENG,FW,Roma,it Serie A,24,1997,38,2189,58,64.0,24.3,24,77,7,14,24,0,1.66,32,25,+7,+0.29,-0.08,37.7,22.9,+14.8,+0.61,-0.16,Matches,f586779e
16,Christian Acella,it ITA,MF,Cremonese,it Serie A,20,2002,1,15,15,0.4,0.2,0,,0,1,15,25,0.00,0,1,-1,-6.00,-5.15,0.0,0.1,-0.1,-0.65,+0.07,Matches,771a2cfe
17,Francesco Acerbi,it ITA,DF,Inter,it Serie A,34,1988,31,2425,78,70.9,26.9,25,90,24,6,31,3,1.94,53,30,+23,+0.85,+0.31,49.5,26.6,+22.9,+0.85,+0.07,Matches,b96b595c
18,Álvaro Aceves,es ESP,GK,Valladolid,es La Liga,19,2003,1,13,13,0.4,0.1,0,,0,1,13,13,0.00,0,0,0,0.00,+0.79,0.3,0.2,+0.1,+0.73,+1.43,Matches,be6faae0
19,Mohamed Achi,fr FRA,FW,Nantes,fr Ligue 1,20,2002,2,36,18,1.1,0.4,0,,0,2,18,6,0.50,1,0,+1,+2.50,+3.01,0.8,0.0,+0.7,+1.87,+2.15,Matches,1e93fc5d
20,Marcos Acuña,ar ARG,DF,Sevilla,es La Liga,30,1991,30,1912,64,55.9,21.2,21,79,10,9,28,0,1.33,27,34,-7,-0.33,-0.33,27.1,29.5,-2.5,-0.12,+0.21,Matches,81442ecb
21,Marius Adamonis,lt LTU,GK,Lazio,it Serie A,25,1997,0,,,,,0,,0,0,,38,,,,,,,,,,,,Matches,1226f0de
22,Che Adams,sct SCO,FW,Southampton,eng Premier League,26,1996,28,1992,71,58.2,22.1,23,82,13,5,22,1,0.71,18,41,-23,-1.04,-0.16,24.1,33.2,-9.2,-0.41,+0.48,Matches,f2bf1b0f
23,Tyler Adams,us USA,MF,Leeds United,eng Premier League,23,1999,24,2156,90,63.0,24.0,24,90,23,0,,0,0.96,28,36,-8,-0.33,+1.23,30.2,33.0,-2.9,-0.12,+1.09,Matches,2b09d998
24,Sargis Adamyan,am ARM,"FW,MF",Köln,de Bundesliga,29,1993,24,644,27,21.0,7.2,4,62,0,20,20,4,1.13,11,16,-5,-0.70,-0.70,11.2,11.7,-0.5,-0.06,-0.28,Matches,22919e97
25,Tosin Adarabioyo,eng ENG,DF,Fulham,eng Premier League,24,1997,25,2085,83,61.0,23.2,23,90,23,2,8,13,1.44,36,39,-3,-0.13,-0.47,26.5,42.8,-16.3,-0.70,-0.62,Matches,c81d773d
26,Omotayo Adaramola,ie IRL,DF,Crystal Palace,eng Premier League,18,2003,0,,,,,0,,0,0,,2,,,,,,,,,,,,Matches,c150b220
