Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
1,Paxten Aaronson,us USA,"FW,MF",Philadelphia,18,2003,4.8,20,4.19,13,0,2,2,1,2,2,0.42,2,0,0,0,0,0,Matches
2,Lalas Abubakar,gh GHA,DF,Colorado Rapids,27,1994,28,20,0.71,17,0,0,2,0,1,1,0.04,1,0,0,0,0,0,Matches
3,Nicolás Acevedo,uy URU,"MF,DF",NYCFC,22,1999,25.2,30,1.19,28,2,0,0,0,0,4,0.16,4,0,0,0,0,0,Matches
4,Ifunanyachi Achara,us USA,"FW,MF",Toronto FC,24,1997,4.2,6,1.41,6,0,0,0,0,0,1,0.23,1,0,0,0,0,0,Matches
5,Bryan Acosta,hn HON,MF,Colorado Rapids,28,1993,21.1,74,3.51,36,36,0,0,1,1,5,0.24,2,2,0,0,0,1,Matches
6,George Acosta,us USA,MF,Inter Miami,22,2000,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
7,Kellyn Acosta,us USA,"MF,DF",Los Angeles FC,26,1995,28.3,94,3.32,58,30,2,3,1,0,6,0.21,4,1,0,1,0,0,Matches
8,Luciano Acosta,ar ARG,MF,FC Cincinnati,27,1994,27.7,183,6.61,120,29,15,6,10,3,30,1.08,22,2,2,3,1,0,Matches
9,Mo Adams,eng ENG,MF,Inter Miami,25,1996,3.9,1,0.25,0,0,1,0,0,0,0,0,0,0,0,0,0,0,Matches
10,Samuel Adeniran,us USA,FW,Seattle,23,1998,0.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
11,Harrison Afful,gh GHA,DF,Charlotte,35,1986,14.5,17,1.17,13,4,0,0,0,0,2,0.14,0,2,0,0,0,0,Matches
12,Samuel Afriyie Owusu,gh GHA,"DF,MF",NYCFC,21,2000,0.1,1,7.5,0,0,0,1,0,0,0,0,0,0,0,0,0,0,Matches
13,William Agada,ng NGA,FW,Sporting KC,22,1999,10.2,27,2.65,20,1,0,5,1,0,2,0.2,2,0,0,0,0,0,Matches
14,Oskar Ågren,se SWE,DF,San Jose,23,1998,2.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
15,Daniel Aguirre,us USA,"MF,DF",LA Galaxy,22,1999,4.2,7,1.68,7,0,0,0,0,0,2,0.48,2,0,0,0,0,0,Matches
16,Ali Ahmed,ca CAN,DF,Vancouver,21,2000,0.6,2,3.21,1,0,0,1,0,0,1,1.61,0,0,0,1,0,0,Matches
17,Arnaud Ake,ci CIV,"FW,MF",Nashville,23,1998,3.5,9,2.54,9,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
18,Tesho Akindele,ca CAN,FW,Orlando City,29,1992,6.8,15,2.22,13,0,0,2,0,0,1,0.15,0,0,0,1,0,0,Matches
19,Matai Akinmboni,us USA,DF,D.C. United,15,2006,1.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
20,Ayo Akinola,ca CAN,FW,Toronto FC,22,2000,13.8,27,1.95,16,0,2,6,3,0,5,0.36,1,0,0,2,2,0,Matches
21,Jordy Alcivar,ec ECU,MF,Charlotte,22,1999,11.3,44,3.89,21,18,0,3,2,0,3,0.26,2,0,0,1,0,0,Matches
22,Caio Alexandre,br BRA,"MF,DF",Vancouver,22,1999,0.9,3,3.25,1,0,0,0,0,2,0,0,0,0,0,0,0,0,Matches
23,Tony Alfaro,us USA,DF,D.C. United,28,1993,10.5,6,0.57,6,0,0,0,0,0,1,0.1,1,0,0,0,0,0,Matches
24,Noah Allen,us USA,"DF,MF",Inter Miami,17,2004,3.6,8,2.22,8,0,0,0,0,0,1,0.28,1,0,0,0,0,0,Matches
25,Thiago Almada,ar ARG,"MF,FW",Atlanta Utd,20,2001,26.4,172,6.53,122,21,18,10,1,0,18,0.68,10,3,3,2,0,0,Matches
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def,Matches
26,Osvaldo Alonso,cu CUB,MF,Atlanta Utd,36,1985,3.7,8,2.18,6,2,0,0,0,0,3,0.82,2,1,0,0,0,0,Matches
27,Jozy Altidore,us USA,"FW,MF",New England,32,1989,6.6,12,1.81,11,0,0,0,1,0,0,0,0,0,0,0,0,0,Matches
28,Efrain Alvarez,mx MEX,"MF,FW",LA Galaxy,19,2002,15.5,63,4.07,43,12,4,3,1,0,9,0.58,7,0,0,1,1,0,Matches
29,Luis Amarilla,py PAR,FW,Minnesota Utd,26,1995,26.1,63,2.41,48,1,3,8,3,0,10,0.38,8,0,1,1,0,0,Matches
30,Frankie Amaya,us USA,MF,NY Red Bulls,21,2000,22,49,2.23,31,13,2,2,1,0,10,0.46,8,1,0,1,0,0,Matches
31,Mikey Ambrose,us USA,DF,Atlanta Utd,28,1993,0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
32,Malte Amundsen,dk DEN,DF,NYCFC,23,1998,23.3,40,1.72,36,2,0,2,0,0,5,0.21,4,0,0,1,0,0,Matches
33,Max Anchor,ca CAN,GK,Vancouver,17,2004,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
34,Sebastian Anderson,us USA,"DF,MF",Colorado Rapids,19,2002,0.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
35,José Andrés Martínez,ve VEN,MF,Philadelphia,27,1994,28,32,1.14,24,0,1,4,2,1,5,0.18,4,0,0,1,0,0,Matches
36,Iván Angulo,co COL,FW,Orlando City,22,1999,6.1,17,2.79,13,3,1,0,0,0,2,0.33,1,1,0,0,0,0,Matches
37,Jalil Anibaba,us USA,DF,Columbus Crew,33,1988,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,Matches
38,Themi Antonoglou,ca CAN,DF,Toronto FC,20,2001,0.5,1,2.2,0,1,0,0,0,0,0,0,0,0,0,0,0,0,Matches
